student_id,subject_name,semester,attempt_number,status
1,Mathematics,5,3,ACTIVE
1,Programming,5,3,ACTIVE
1,Data Structures,5,2,ACTIVE
1,Electronics,5,2,ACTIVE
2,Mathematics,6,3,CLEARED
2,Programming,6,3,CLEARED
3,Mathematics,6,1,ACTIVE
3,Programming,6,1,ACTIVE
4,Mathematics,3,2,ACTIVE
4,Programming,3,1,ACTIVE
7,Mathematics,1,3,ACTIVE
7,Programming,1,3,ACTIVE
8,Mathematics,7,3,ACTIVE
8,Programming,7,2,ACTIVE
8,Data Structures,7,2,ACTIVE
8,Electronics,7,2,ACTIVE
10,Mathematics,1,3,ACTIVE
10,Programming,1,3,CLEARED
11,Mathematics,2,3,ACTIVE
11,Programming,2,2,ACTIVE
13,Mathematics,5,2,ACTIVE
14,Mathematics,7,1,ACTIVE
14,Programming,7,2,ACTIVE
15,Mathematics,1,2,ACTIVE
15,Programming,1,2,CLEARED
16,Mathematics,5,2,CLEARED
17,Mathematics,7,1,ACTIVE
17,Programming,7,2,ACTIVE
19,Mathematics,3,2,ACTIVE
19,Programming,3,1,ACTIVE
19,Data Structures,3,2,ACTIVE
20,Mathematics,6,1,ACTIVE
21,Mathematics,3,2,ACTIVE
21,Programming,3,2,ACTIVE
22,Mathematics,1,2,CLEARED
22,Programming,1,3,ACTIVE
24,Mathematics,7,1,ACTIVE
24,Programming,7,1,ACTIVE
25,Mathematics,1,2,ACTIVE
25,Programming,1,3,ACTIVE
25,Data Structures,1,2,ACTIVE
25,Electronics,1,3,ACTIVE
27,Mathematics,5,3,CLEARED
30,Mathematics,4,1,ACTIVE
31,Mathematics,4,3,ACTIVE
31,Programming,4,2,ACTIVE
31,Data Structures,4,2,ACTIVE
34,Mathematics,1,3,CLEARED
35,Mathematics,5,3,CLEARED
38,Mathematics,1,2,CLEARED
38,Programming,1,2,ACTIVE
40,Mathematics,5,1,ACTIVE
40,Programming,5,2,ACTIVE
41,Mathematics,3,2,CLEARED
42,Mathematics,4,1,ACTIVE
42,Programming,4,2,ACTIVE
43,Mathematics,6,3,ACTIVE
43,Programming,6,3,ACTIVE
43,Data Structures,6,3,ACTIVE
45,Mathematics,4,1,ACTIVE
45,Programming,4,2,ACTIVE
46,Mathematics,1,2,ACTIVE
46,Programming,1,3,ACTIVE
47,Mathematics,5,2,CLEARED
49,Mathematics,6,2,ACTIVE
50,Mathematics,6,2,CLEARED
53,Mathematics,7,3,ACTIVE
53,Programming,7,3,ACTIVE
54,Mathematics,1,2,ACTIVE
54,Programming,1,2,ACTIVE
55,Mathematics,1,2,ACTIVE
55,Programming,1,3,ACTIVE
56,Mathematics,5,3,ACTIVE
56,Programming,5,2,ACTIVE
56,Data Structures,5,3,ACTIVE
57,Mathematics,5,3,ACTIVE
58,Mathematics,7,1,ACTIVE
61,Mathematics,3,1,ACTIVE
61,Programming,3,2,ACTIVE
62,Mathematics,2,2,CLEARED
62,Programming,2,3,ACTIVE
63,Mathematics,2,2,ACTIVE
63,Programming,2,2,ACTIVE
64,Mathematics,5,2,ACTIVE
64,Programming,5,2,ACTIVE
64,Data Structures,5,3,ACTIVE
65,Mathematics,2,1,ACTIVE
65,Programming,2,1,ACTIVE
66,Mathematics,5,2,ACTIVE
67,Mathematics,5,1,ACTIVE
70,Mathematics,6,2,CLEARED
72,Mathematics,2,3,ACTIVE
73,Mathematics,1,2,ACTIVE
