student_id,week_number,month,total_classes,attended_classes,percentage
1,1,August,18,15,83.33
1,2,August,25,20,80.0
1,3,August,25,20,80.0
1,4,August,22,16,72.73
1,5,September,19,14,73.68
1,6,September,25,17,68.0
1,7,September,24,15,62.5
1,8,September,19,12,63.16
1,9,October,19,11,57.89
1,10,October,18,11,61.11
1,11,October,18,9,50.0
1,12,October,18,8,44.44
1,13,November,23,10,43.48
1,14,November,22,9,40.91
2,1,August,21,13,61.9
2,2,August,22,15,68.18
2,3,August,23,16,69.57
2,4,August,20,14,70.0
2,5,September,21,16,76.19
2,6,September,24,18,75.0
2,7,September,24,19,79.17
2,8,September,19,15,78.95
2,9,October,25,20,80.0
2,10,October,23,19,82.61
2,11,October,25,21,84.0
2,12,October,24,22,91.67
2,13,November,21,19,90.48
2,14,November,23,21,91.3
3,1,August,20,18,90.0
3,2,August,22,20,90.91
3,3,August,19,17,89.47
3,4,August,22,19,86.36
3,5,September,22,19,86.36
3,6,September,23,20,86.96
3,7,September,24,21,87.5
3,8,September,21,18,85.71
3,9,October,25,21,84.0
3,10,October,19,18,94.74
3,11,October,24,21,87.5
3,12,October,19,16,84.21
3,13,November,18,15,83.33
3,14,November,24,22,91.67
4,1,August,25,21,84.0
4,2,August,21,17,80.95
4,3,August,25,21,84.0
4,4,August,23,19,82.61
4,5,September,23,18,78.26
4,6,September,21,17,80.95
4,7,September,22,17,77.27
4,8,September,21,15,71.43
4,9,October,22,17,77.27
4,10,October,19,13,68.42
4,11,October,22,16,72.73
4,12,October,18,12,66.67
4,13,November,22,15,68.18
4,14,November,23,15,65.22
5,1,August,25,21,84.0
5,2,August,19,16,84.21
5,3,August,21,18,85.71
5,4,August,23,20,86.96
5,5,September,19,17,89.47
5,6,September,19,16,84.21
5,7,September,19,17,89.47
5,8,September,24,20,83.33
5,9,October,24,21,87.5
5,10,October,19,16,84.21
5,11,October,23,20,86.96
5,12,October,20,18,90.0
5,13,November,18,16,88.89
5,14,November,25,22,88.0
6,1,August,20,18,90.0
6,2,August,19,17,89.47
6,3,August,19,18,94.74
6,4,August,20,19,95.0
6,5,September,21,19,90.48
6,6,September,25,23,92.0
6,7,September,25,22,88.0
6,8,September,20,19,95.0
6,9,October,18,17,94.44
6,10,October,22,20,90.91
6,11,October,21,20,95.24
6,12,October,21,19,90.48
6,13,November,21,19,90.48
6,14,November,20,19,95.0
7,1,August,18,16,88.89
7,2,August,19,16,84.21
7,3,August,19,16,84.21
7,4,August,18,14,77.78
7,5,September,20,15,75.0
7,6,September,23,17,73.91
7,7,September,18,12,66.67
7,8,September,18,12,66.67
7,9,October,18,11,61.11
7,10,October,24,14,58.33
7,11,October,19,10,52.63
7,12,October,21,12,57.14
7,13,November,21,11,52.38
7,14,November,24,11,45.83
8,1,August,20,17,85.0
8,2,August,22,18,81.82
8,3,August,24,18,75.0
8,4,August,23,17,73.91
8,5,September,25,17,68.0
