student_id,semester,total_fee,paid_amount,due_date,status
1,5,25000.0,0.0,2026-09-30,PENDING
1,6,25000.0,17062.22,2026-09-30,PARTIAL
2,6,25000.0,25000.0,2026-09-30,PAID
2,7,25000.0,25000.0,2026-09-30,PAID
3,6,25000.0,13106.37,2026-09-30,PARTIAL
3,7,25000.0,25000.0,2026-09-30,PAID
4,3,25000.0,25000.0,2026-09-30,PAID
4,4,25000.0,25000.0,2026-09-30,PAID
5,1,25000.0,25000.0,2026-09-30,PAID
6,1,25000.0,15398.05,2026-09-30,PARTIAL
7,1,25000.0,7646.91,2026-09-30,PARTIAL
7,2,25000.0,25000.0,2026-09-30,PAID
8,7,25000.0,25000.0,2026-09-30,PAID
8,8,25000.0,25000.0,2026-09-30,PAID
9,6,25000.0,16290.6,2026-09-30,PARTIAL
9,7,25000.0,25000.0,2026-09-30,PAID
10,1,25000.0,25000.0,2026-09-30,PAID
10,2,25000.0,25000.0,2026-09-30,PAID
11,2,25000.0,25000.0,2026-09-30,PAID
11,3,25000.0,25000.0,2026-09-30,PAID
12,3,25000.0,25000.0,2026-09-30,PAID
12,4,25000.0,5534.4,2026-09-30,PARTIAL
13,5,25000.0,25000.0,2026-09-30,PAID
13,6,25000.0,17804.16,2026-09-30,PARTIAL
14,7,25000.0,25000.0,2026-09-30,PAID
14,8,25000.0,25000.0,2026-09-30,PAID
15,1,25000.0,25000.0,2026-09-30,PAID
15,2,25000.0,25000.0,2026-09-30,PAID
16,5,25000.0,25000.0,2026-09-30,PAID
16,6,25000.0,25000.0,2026-09-30,PAID
17,7,25000.0,13635.16,2026-09-30,PARTIAL
17,8,25000.0,15846.86,2026-09-30,PARTIAL
18,6,25000.0,25000.0,2026-09-30,PAID
18,7,25000.0,10905.85,2026-09-30,PARTIAL
19,3,25000.0,0.0,2026-09-30,PENDING
19,4,25000.0,25000.0,2026-09-30,PAID
20,6,25000.0,8963.59,2026-09-30,PARTIAL
20,7,25000.0,25000.0,2026-09-30,PAID
21,3,25000.0,0.0,2026-09-30,PENDING
21,4,25000.0,25000.0,2026-09-30,PAID
22,1,25000.0,25000.0,2026-09-30,PAID
22,2,25000.0,25000.0,2026-09-30,PAID
23,1,25000.0,12493.88,2026-09-30,PARTIAL
23,2,25000.0,25000.0,2026-09-30,PAID
24,7,25000.0,25000.0,2026-09-30,PAID
24,8,25000.0,25000.0,2026-09-30,PAID
25,1,25000.0,25000.0,2026-09-30,PAID
26,6,25000.0,25000.0,2026-09-30,PAID
26,7,25000.0,25000.0,2026-09-30,PAID
27,5,25000.0,25000.0,2026-09-30,PAID
27,6,25000.0,25000.0,2026-09-30,PAID
28,5,25000.0,25000.0,2026-09-30,PAID
28,6,25000.0,25000.0,2026-09-30,PAID
29,2,25000.0,25000.0,2026-09-30,PAID
29,3,25000.0,25000.0,2026-09-30,PAID
30,4,25000.0,25000.0,2026-09-30,PAID
30,5,25000.0,0.0,2026-09-30,PENDING
31,4,25000.0,25000.0,2026-09-30,PAID
31,5,25000.0,0.0,2026-09-30,PENDING
32,1,25000.0,25000.0,2026-09-30,PAID
33,3,25000.0,25000.0,2026-09-30,PAID
33,4,25000.0,25000.0,2026-09-30,PAID
34,1,25000.0,25000.0,2026-09-30,PAID
35,5,25000.0,25000.0,2026-09-30,PAID
35,6,25000.0,25000.0,2026-09-30,PAID
36,2,25000.0,25000.0,2026-09-30,PAID
36,3,25000.0,25000.0,2026-09-30,PAID
37,7,25000.0,25000.0,2026-09-30,PAID
37,8,25000.0,25000.0,2026-09-30,PAID
38,1,25000.0,25000.0,2026-09-30,PAID
38,2,25000.0,25000.0,2026-09-30,PAID
39,2,25000.0,25000.0,2026-09-30,PAID
39,3,25000.0,25000.0,2026-09-30,PAID
40,5,25000.0,25000.0,2026-09-30,PAID
40,6,25000.0,25000.0,2026-09-30,PAID
41,3,25000.0,25000.0,2026-09-30,PAID
41,4,25000.0,25000.0,2026-09-30,PAID
42,4,25000.0,25000.0,2026-09-30,PAID
42,5,25000.0,25000.0,2026-09-30,PAID
43,6,25000.0,25000.0,2026-09-30,PAID
43,7,25000.0,25000.0,2026-09-30,PAID
44,4,25000.0,25000.0,2026-09-30,PAID
44,5,25000.0,25000.0,2026-09-30,PAID
45,4,25000.0,25000.0,2026-09-30,PAID
45,5,25000.0,25000.0,2026-09-30,PAID
46,1,25000.0,25000.0,2026-09-30,PAID
47,5,25000.0,25000.0,2026-09-30,PAID
47,6,25000.0,0.0,2026-09-30,PENDING
48,1,25000.0,25000.0,2026-09-30,PAID
49,6,25000.0,11389.7,2026-09-30,PARTIAL
49,7,25000.0,25000.0,2026-09-30,PAID
50,6,25000.0,25000.0,2026-09-30,PAID
50,7,25000.0,25000.0,2026-09-30,PAID
