student_id,subject_name,exam_type,max_marks,obtained_marks,attempt_number
1,Communication Skills,TEST1,20.0,15.3,1
1,Communication Skills,TEST2,20.0,13.0,1
1,Communication Skills,MIDTERM,50.0,21.4,1
1,Communication Skills,FINAL,100.0,36.0,1
1,Mathematics,TEST1,20.0,12.0,1
1,Mathematics,TEST2,20.0,10.3,1
1,Mathematics,MIDTERM,50.0,19.3,1
1,Mathematics,FINAL,100.0,32.0,1
1,Engineering Fundamentals,TEST1,20.0,13.0,1
1,Engineering Fundamentals,TEST2,20.0,10.6,1
1,Engineering Fundamentals,MIDTERM,50.0,17.9,1
1,Engineering Fundamentals,FINAL,100.0,20.5,1
1,Electronics,TEST1,20.0,13.1,1
1,Electronics,TEST2,20.0,11.1,1
1,Electronics,MIDTERM,50.0,23.4,1
1,Electronics,FINAL,100.0,36.7,1
2,Electronics,TEST1,20.0,9.0,1
2,Electronics,TEST2,20.0,11.3,1
2,Electronics,MIDTERM,50.0,30.7,1
2,Electronics,FINAL,100.0,80.9,1
2,Mathematics,TEST1,20.0,9.1,1
2,Mathematics,TEST2,20.0,10.4,1
2,Mathematics,MIDTERM,50.0,30.0,1
2,Mathematics,FINAL,100.0,75.9,1
2,Programming,TEST1,20.0,8.6,1
2,Programming,TEST2,20.0,12.2,1
2,Programming,MIDTERM,50.0,33.0,1
2,Programming,FINAL,100.0,82.3,1
2,Data Structures,TEST1,20.0,9.0,1
2,Data Structures,TEST2,20.0,10.6,1
2,Data Structures,MIDTERM,50.0,31.5,1
2,Data Structures,FINAL,100.0,66.7,1
3,Programming,TEST1,20.0,12.2,1
3,Programming,TEST2,20.0,9.0,1
3,Programming,MIDTERM,50.0,16.8,1
3,Programming,FINAL,100.0,21.7,1
3,Mathematics,TEST1,20.0,13.3,1
3,Mathematics,TEST2,20.0,11.2,1
3,Mathematics,MIDTERM,50.0,22.4,1
3,Mathematics,FINAL,100.0,36.6,1
3,Engineering Fundamentals,TEST1,20.0,12.9,1
3,Engineering Fundamentals,TEST2,20.0,10.8,1
3,Engineering Fundamentals,MIDTERM,50.0,20.2,1
3,Engineering Fundamentals,FINAL,100.0,27.0,1
3,Electronics,TEST1,20.0,12.8,1
3,Electronics,TEST2,20.0,11.6,1
3,Electronics,MIDTERM,50.0,21.0,1
3,Electronics,FINAL,100.0,28.3,1
4,Communication Skills,TEST1,20.0,15.9,1
4,Communication Skills,TEST2,20.0,13.7,1
4,Communication Skills,MIDTERM,50.0,30.5,1
4,Communication Skills,FINAL,100.0,51.5,1
4,Mathematics,TEST1,20.0,14.8,1
4,Mathematics,TEST2,20.0,14.1,1
4,Mathematics,MIDTERM,50.0,29.2,1
4,Mathematics,FINAL,100.0,48.9,1
4,Electronics,TEST1,20.0,15.1,1
4,Electronics,TEST2,20.0,13.8,1
4,Electronics,MIDTERM,50.0,32.9,1
4,Electronics,FINAL,100.0,59.6,1
4,Data Structures,TEST1,20.0,13.3,1
4,Data Structures,TEST2,20.0,12.9,1
4,Data Structures,MIDTERM,50.0,27.3,1
4,Data Structures,FINAL,100.0,51.9,1
5,Mathematics,TEST1,20.0,17.0,1
5,Mathematics,TEST2,20.0,16.2,1
5,Mathematics,MIDTERM,50.0,44.8,1
5,Mathematics,FINAL,100.0,86.9,1
5,Engineering Fundamentals,TEST1,20.0,14.3,1
5,Engineering Fundamentals,TEST2,20.0,13.4,1
5,Engineering Fundamentals,MIDTERM,50.0,37.4,1
5,Engineering Fundamentals,FINAL,100.0,67.1,1
5,Electronics,TEST1,20.0,14.9,1
5,Electronics,TEST2,20.0,15.1,1
